sdbid,label
sdb-v1-221830.10-601534.5,star
sdb-v1-203734.04-471729.4,star
sdb-v1-182118.60-025355.8,star
sdb-v1-070844.86-702956.2,star
sdb-v1-082544.19-660812.8,star
sdb-v1-164947.16-590228.9,star
sdb-v1-085031.92-274235.4,star
sdb-v1-105946.46-181755.6,star
sdb-v1-184302.14-712541.2,star
sdb-v1-114551.56+063145.7,star
sdb-v1-191001.76-392026.9,star
sdb-v1-195515.69-415205.8,star
sdb-v1-141253.75-101625.3,star
sdb-v1-153803.20-423402.4,star
sdb-v1-232758.09+062244.4,star
sdb-v1-070039.12+165733.0,star
sdb-v1-083845.44+032029.2,star
sdb-v1-220606.89-393236.1,star
sdb-v1-195656.83-271011.6,star
sdb-v1-093827.29+043857.4,star
sdb-v1-092718.41-222037.7,star
sdb-v1-113018.89-030012.6,star
#sdb-v1-200333.46-375626.5,star
sdb-v1-082123.03-330315.7,star
sdb-v1-142305.78-274514.5,star
sdb-v1-073539.72-523201.8,star
sdb-v1-203643.63-023259.8,star
sdb-v1-204928.96-461336.6,star
sdb-v1-200419.60-320322.7,star
sdb-v1-232020.58+052252.7,star
sdb-v1-073928.59+174028.3,star
sdb-v1-232304.57+121850.1,star
sdb-v1-111717.40+020038.0,star
#sdb-v1-150637.60-161524.5,star
sdb-v1-164549.89+083457.4,star
sdb-v1-091513.85+145629.4,star
sdb-v1-113827.61+080803.5,star
sdb-v1-132643.17-124227.6,star
sdb-v1-185814.75+172139.3,star
sdb-v1-142841.72-065401.9,star
sdb-v1-230439.63-535753.7,star
sdb-v1-185227.23-463542.4,star
