sdbid,label
#sdb-v1-032938.37+243037.9,Class III
#sdb-v1-040253.57+220811.7,Class III
#sdb-v1-040428.49+215604.5,Class III
#sdb-v1-040530.87+215110.5,Class III
#sdb-v1-041314.15+281910.8,Class III
#sdb-v1-041327.26+281624.8,Class III
sdb-v1-041412.92+281212.3,Class II
sdb-v1-041417.01+281057.8,Class II
sdb-v1-041447.31+264626.6,Class II
#sdb-v1-041447.87+264811.0,Class T
#sdb-v1-041447.97+275234.5,Class III
#sdb-v1-041628.11+280735.6,Class III
sdb-v1-041733.72+282046.7,Class II
#sdb-v1-041738.94+283300.6,Class III
#sdb-v1-041821.48+165847.0,Class III
#sdb-v1-041851.71+172316.8,Class III
#sdb-v1-042158.85+281806.5,Class III
#sdb-v1-042203.13+282539.0,Class III
sdb-v1-042339.23+245614.1,Class II
sdb-v1-042702.64+260531.3,Class I
sdb-v1-042704.70+260616.1,Class II
#sdb-v1-042710.57+175042.7,Class III
sdb-v1-042951.51+260645.3,Class II
sdb-v1-043044.24+260124.6,Class II
sdb-v1-043051.38+244222.3,Class II
sdb-v1-043051.71+244147.5,Class II
sdb-v1-043114.44+271017.9,debris
#sdb-v1-043123.81+241052.9,Class III
#sdb-v1-043127.17+170624.7,Class III
sdb-v1-043136.10+181343.6,Class I
sdb-v1-043138.46+181358.0,Class I
#sdb-v1-043209.28+175722.7,Class III
#sdb-v1-043214.57+182014.8,Class III
#sdb-v1-043218.88+242227.1,Class III
#sdb-v1-043243.73+180256.3,Class III
#sdb-v1-043310.03+243343.3,Class III
#sdb-v1-043334.06+242117.1,Class II
sdb-v1-043334.57+242105.9,Class II
sdb-v1-043339.10+252038.6,Class II
sdb-v1-043339.35+175152.1,Class II
#sdb-v1-043348.73+181010.0,Class T
#sdb-v1-043410.99+225144.5,Class III
#sdb-v1-043418.03+183006.5,Class III
sdb-v1-043520.23+223214.6,Class II
#sdb-v1-043619.09+254259.0,Class III
#sdb-v1-043649.12+241258.9,Class S
sdb-v1-043828.59+261049.6,Class II
sdb-v1-043835.48+261041.5,Class I
sdb-v1-044049.51+255119.2,Class II
#sdb-v1-044104.71+245106.1,Class III
sdb-v1-044116.83+283959.6,Class II
sdb-v1-044237.69+251537.3,Class II
sdb-v1-044653.07+170000.1,Class II
sdb-v1-044659.01+170238.6,Class II
sdb-v1-044748.60+292511.2,Class II
sdb-v1-045423.68+170953.6,debris
#sdb-v1-045602.02+302103.7,Class III
#sdb-v1-050306.60+252319.5,Class T
